sku,name,category,price,keywords
SKU001,Blue Cotton T-Shirt,Clothing,599,"tshirt, blue shirt, cotton tee, t-shirt"
SKU002,Wireless Earbuds Pro,Electronics,2499,"earbuds, earphones, wireless, bluetooth"
SKU003,Organic Face Cream,Beauty,899,"face cream, moisturizer, skincare, cream"
SKU004,Running Shoes X1,Footwear,3499,"shoes, running shoes, sneakers, joggers"
SKU005,Leather Wallet Classic,Accessories,1299,"wallet, leather wallet, purse, billfold"
SKU006,Smartphone Case Ultra,Electronics,499,"phone case, mobile cover, case"
SKU007,Silk Scarf Elegant,Accessories,1999,"scarf, silk scarf, stole, dupatta"
SKU008,Protein Shake Mix,Health,1599,"protein, shake, supplement, whey"
SKU009,Bamboo Water Bottle,Lifestyle,799,"bottle, water bottle, eco bottle"
SKU010,Silver Stud Earrings,Jewelry,2999,"earrings, studs, silver earrings, jewellery"
